Branches, Wall clock time, User time, System time, Memory (kbytes)
2, 12.17, 11.83, 1.05,
12, 4.52, 6.24, 0.64,
22, 1.95, 4.65, 0.56,
32, 2.14, 4.99, 0.55,
42, 2.10, 5.10, 0.57,
52, 2.19, 5.28, 0.59,
62, 2.27, 5.35, 0.59,
72, 2.80, 5.69, 0.68,
82, 3.83, 6.04, 0.70,
92, 3.77, 6.12, 0.70,
2, 2.18, 4.46, 0.52,
12, 1.99, 4.79, 0.56,
22, 1.95, 4.52, 0.48,
32, 2.07, 5.19, 0.61,
42, 2.30, 5.13, 0.59,
52, 2.30, 5.47, 0.63,
62, 2.30, 5.50, 0.60,
72, 3.14, 5.59, 0.64,
82, 3.48, 5.94, 0.67,
92, 3.63, 5.91, 0.70,
2, 1.80, 4.54, 0.52,
12, 1.81, 4.60, 0.55,
22, 1.96, 5.01, 0.57,
32, 2.06, 5.00, 0.56,
42, 2.05, 4.92, 0.53,
52, 2.25, 5.40, 0.62,
62, 2.35, 5.39, 0.64,
72, 2.49, 5.68, 0.67,
82, 2.68, 5.73, 0.65,
92, 2.79, 6.20, 0.69,
2, 2.06, 4.61, 0.53,
12, 2.16, 4.52, 0.48,
22, 1.83, 4.62, 0.50,
32, 2.00, 4.95, 0.55,
42, 3.25, 5.03, 0.55,
52, 2.60, 5.37, 0.62,
62, 2.38, 5.34, 0.58,
72, 2.60, 5.71, 0.67,
82, 2.66, 5.74, 0.66,
92, 2.78, 6.20, 0.67,
2, 1.81, 4.38, 0.47,
12, 1.76, 4.53, 0.49,
22, 2.00, 4.95, 0.57,
32, 2.27, 5.02, 0.58,
42, 2.16, 5.12, 0.56,
52, 2.78, 5.17, 0.59,
62, 2.96, 5.29, 0.56,
72, 2.48, 5.66, 0.64,
82, 2.86, 5.93, 0.66,
92, 2.76, 6.03, 0.66,
2, 1.84, 4.61, 0.53,
12, 1.87, 4.79, 0.55,
22, 2.12, 4.61, 0.51,
32, 1.93, 4.78, 0.51,
42, 2.16, 5.25, 0.60,
52, 3.48, 5.20, 0.57,
62, 2.30, 5.35, 0.56,
72, 2.40, 5.60, 0.59,
82, 3.24, 5.76, 0.64,
92, 2.65, 6.08, 0.67,
2, 1.75, 4.58, 0.52,
12, 1.73, 4.46, 0.47,
22, 1.89, 4.79, 0.54,
32, 1.94, 4.83, 0.53,
42, 2.31, 5.24, 0.60,
52, 3.03, 5.41, 0.68,
62, 3.10, 5.52, 0.64,
72, 2.93, 5.61, 0.68,
82, 2.88, 5.81, 0.67,
92, 2.92, 5.86, 0.69,
2, 1.90, 4.41, 0.54,
12, 2.00, 4.65, 0.58,
22, 2.29, 4.70, 0.52,
32, 1.97, 4.80, 0.53,
42, 2.11, 5.12, 0.57,
52, 2.69, 5.32, 0.61,
62, 2.52, 5.35, 0.59,
72, 3.28, 5.62, 0.65,
82, 3.16, 5.90, 0.69,
92, 3.25, 6.13, 0.74,
2, 2.16, 4.42, 0.54,
12, 2.11, 4.69, 0.56,
22, 2.17, 4.68, 0.54,
32, 2.36, 5.18, 0.60,
42, 2.33, 4.94, 0.74,
52, 2.97, 5.22, 0.70,
62, 3.34, 5.41, 0.73,
72, 3.37, 5.57, 0.72,
82, 3.18, 5.81, 0.78,
92, 11.47, 16.59, 1.40,
2, 9.97, 11.92, 1.03,
12, 1.94, 4.52, 0.59,
22, 2.01, 4.80, 0.55,
32, 2.04, 4.89, 0.60,
42, 2.28, 5.12, 0.58,
52, 2.27, 5.26, 0.63,
62, 2.53, 5.49, 0.67,
72, 2.71, 5.71, 0.71,
82, 3.62, 5.96, 0.68,
92, 3.86, 5.95, 0.74,
