Branches, Wall clock time, User time, System time, Memory (kbytes)
2, 13.08, 16.53, 1.50,
12, 6.95, 11.26, 1.01,
22, 2.09, 4.81, 0.59,
32, 2.28, 4.90, 0.60,
42, 2.29, 5.19, 0.58,
52, 2.57, 5.24, 0.68,
62, 3.44, 5.64, 0.67,
72, 2.61, 5.94, 0.67,
82, 2.91, 6.06, 0.67,
92, 2.74, 6.22, 0.65,
2, 2.24, 4.37, 0.50,
12, 2.31, 4.64, 0.52,
22, 1.83, 4.75, 0.52,
32, 1.95, 4.92, 0.56,
42, 2.25, 5.19, 0.63,
52, 2.59, 5.40, 0.58,
62, 2.30, 5.59, 0.61,
72, 2.48, 5.85, 0.65,
82, 2.69, 6.07, 0.71,
92, 2.71, 6.25, 0.66,
2, 1.68, 4.47, 0.51,
12, 1.74, 4.55, 0.51,
22, 1.91, 4.83, 0.57,
32, 2.59, 5.04, 0.60,
42, 2.00, 4.94, 0.54,
52, 2.37, 5.41, 0.68,
62, 2.59, 5.50, 0.75,
72, 2.63, 5.82, 0.67,
82, 2.69, 6.24, 0.70,
92, 3.49, 6.51, 0.86,
2, 2.35, 4.43, 0.52,
12, 1.82, 4.60, 0.55,
22, 1.84, 4.63, 0.53,
32, 1.95, 5.02, 0.55,
42, 2.06, 5.15, 0.56,
52, 2.12, 5.21, 0.57,
62, 2.33, 5.66, 0.61,
72, 2.47, 5.85, 0.65,
82, 2.66, 6.26, 0.68,
92, 2.86, 6.54, 0.75,
2, 1.65, 4.46, 0.50,
12, 1.70, 4.52, 0.49,
22, 1.84, 4.83, 0.53,
32, 1.95, 5.01, 0.55,
42, 2.07, 5.24, 0.57,
52, 2.14, 5.27, 0.57,
62, 2.31, 5.59, 0.62,
72, 2.61, 5.83, 0.70,
82, 3.58, 6.24, 0.71,
92, 3.11, 6.46, 0.71,
2, 2.29, 4.41, 0.57,
12, 2.07, 4.65, 0.59,
22, 2.99, 4.78, 0.71,
32, 2.51, 5.05, 0.60,
42, 4.07, 5.09, 0.63,
52, 2.40, 5.26, 0.75,
62, 3.09, 5.65, 0.73,
72, 2.54, 5.96, 0.68,
82, 2.66, 6.12, 0.70,
92, 2.93, 6.49, 0.78,
2, 1.75, 4.28, 0.52,
12, 2.03, 4.52, 0.60,
22, 1.83, 4.76, 0.52,
32, 1.99, 5.01, 0.56,
42, 2.15, 5.06, 0.61,
52, 2.20, 5.44, 0.59,
62, 2.32, 5.66, 0.60,
72, 2.41, 5.73, 0.62,
82, 2.62, 6.20, 0.67,
92, 2.70, 6.23, 0.68,
2, 1.57, 4.27, 0.47,
12, 1.76, 4.68, 0.52,
22, 1.83, 4.74, 0.51,
32, 2.00, 4.80, 0.56,
42, 2.04, 5.09, 0.55,
52, 2.19, 5.32, 0.60,
62, 2.68, 5.57, 0.71,
72, 2.64, 5.85, 0.64,
82, 2.77, 6.19, 0.72,
92, 3.28, 6.42, 0.91,
2, 2.01, 4.23, 0.61,
12, 2.01, 4.60, 0.62,
22, 2.65, 4.78, 0.55,
32, 2.04, 4.85, 0.58,
42, 3.04, 5.09, 0.68,
52, 2.20, 5.36, 0.58,
62, 2.36, 5.75, 0.65,
72, 2.67, 5.76, 0.66,
82, 2.79, 6.30, 0.74,
92, 2.90, 6.36, 0.72,
2, 1.64, 4.39, 0.49,
12, 1.72, 4.57, 0.50,
22, 1.94, 4.77, 0.61,
32, 2.17, 4.84, 0.57,
42, 2.03, 5.11, 0.56,
52, 2.16, 5.31, 0.57,
62, 2.44, 5.49, 0.64,
72, 2.49, 5.78, 0.66,
82, 2.91, 6.06, 0.73,
92, 3.30, 6.46, 0.90,
