Branches, Wall clock time, User time, System time, Memory (kbytes)
2, 1.68, 4.15, 0.48,
12, 2.37, 4.60, 0.58,
22, 2.02, 4.79, 0.59,
32, 2.10, 5.16, 0.59,
42, 2.58, 5.24, 0.70,
52, 2.52, 5.56, 0.64,
62, 3.14, 5.74, 0.67,
72, 3.55, 6.20, 0.75,
82, 3.59, 6.47, 0.70,
92, 3.10, 6.80, 0.73,
2, 2.07, 4.39, 0.54,
12, 2.16, 4.48, 0.56,
22, 3.12, 4.92, 0.56,
32, 2.07, 4.99, 0.61,
42, 2.51, 5.21, 0.83,
52, 3.45, 5.60, 0.67,
62, 3.20, 5.78, 0.65,
72, 3.73, 6.13, 0.65,
82, 3.24, 6.21, 0.77,
92, 3.65, 6.72, 0.73,
2, 1.68, 4.33, 0.50,
12, 1.81, 4.70, 0.55,
22, 1.96, 4.88, 0.58,
32, 2.08, 5.04, 0.60,
42, 2.17, 5.13, 0.58,
52, 2.41, 5.70, 0.66,
62, 2.59, 6.01, 0.66,
72, 2.69, 6.00, 0.68,
82, 2.86, 6.35, 0.70,
92, 3.05, 6.57, 0.75,
2, 1.65, 4.34, 0.50,
12, 1.78, 4.62, 0.53,
22, 1.96, 4.93, 0.58,
32, 2.08, 5.05, 0.57,
42, 2.29, 5.49, 0.64,
52, 2.50, 5.36, 0.65,
62, 2.53, 5.78, 0.66,
72, 2.93, 6.00, 0.72,
82, 2.97, 6.23, 0.78,
92, 3.12, 6.72, 0.71,
2, 1.57, 4.18, 0.45,
12, 1.84, 4.62, 0.55,
22, 1.91, 4.77, 0.55,
32, 2.11, 5.12, 0.62,
42, 3.17, 5.30, 0.65,
52, 3.42, 5.46, 0.60,
62, 3.38, 5.75, 0.66,
72, 2.90, 6.15, 0.78,
82, 3.04, 6.34, 0.72,
92, 3.16, 6.49, 0.88,
2, 1.86, 4.23, 0.51,
12, 1.79, 4.38, 0.60,
22, 1.98, 4.61, 0.63,
32, 2.47, 4.97, 0.62,
42, 2.48, 5.20, 0.61,
52, 3.41, 5.37, 0.59,
62, 2.56, 5.79, 0.71,
72, 4.08, 6.08, 0.72,
82, 3.52, 6.34, 0.80,
92, 3.20, 6.57, 0.84,
2, 1.67, 4.38, 0.52,
12, 1.81, 4.63, 0.56,
22, 2.06, 4.76, 0.56,
32, 2.08, 5.16, 0.59,
42, 2.33, 5.42, 0.64,
52, 2.39, 5.57, 0.64,
62, 2.56, 5.88, 0.66,
72, 2.70, 6.14, 0.67,
82, 2.95, 6.66, 0.77,
92, 3.60, 6.57, 0.71,
2, 1.63, 4.30, 0.49,
12, 1.73, 4.43, 0.52,
22, 1.95, 4.89, 0.57,
32, 2.06, 5.02, 0.57,
42, 2.19, 5.29, 0.59,
52, 2.37, 5.60, 0.62,
62, 2.55, 5.81, 0.65,
72, 2.71, 6.14, 0.66,
82, 4.42, 6.44, 0.72,
92, 5.18, 6.66, 0.88,
2, 2.34, 4.25, 0.56,
12, 1.75, 4.62, 0.54,
22, 1.92, 4.71, 0.58,
32, 2.12, 4.88, 0.61,
42, 2.14, 5.24, 0.59,
52, 2.25, 5.47, 0.59,
62, 2.69, 5.73, 0.74,
72, 2.65, 6.12, 0.64,
82, 2.87, 6.24, 0.71,
92, 2.95, 6.53, 0.69,
2, 1.56, 4.31, 0.47,
12, 1.68, 4.51, 0.49,
22, 1.87, 4.61, 0.58,
32, 2.09, 4.85, 0.64,
42, 2.14, 5.32, 0.58,
52, 2.37, 5.60, 0.62,
62, 2.48, 5.69, 0.68,
72, 3.00, 6.02, 0.65,
82, 4.38, 6.61, 0.72,
92, 3.06, 6.80, 0.74,
2, 1.59, 4.37, 0.49,
12, 1.73, 4.61, 0.50,
22, 1.81, 4.74, 0.52,
32, 2.02, 5.12, 0.57,
42, 2.12, 5.28, 0.56,
52, 2.29, 5.58, 0.60,
62, 2.59, 5.89, 0.70,
72, 2.65, 5.99, 0.69,
82, 2.84, 6.49, 0.71,
92, 2.96, 6.59, 0.70,
2, 1.59, 4.35, 0.49,
12, 1.68, 4.56, 0.48,
22, 1.78, 4.66, 0.49,
32, 2.01, 5.17, 0.57,
42, 2.11, 5.21, 0.56,
52, 2.32, 5.57, 0.59,
62, 2.41, 5.73, 0.61,
72, 2.64, 6.19, 0.64,
82, 2.84, 6.45, 0.70,
92, 3.15, 6.56, 0.78,
2, 1.75, 4.23, 0.51,
12, 1.69, 4.57, 0.50,
22, 1.87, 4.89, 0.54,
32, 2.08, 4.92, 0.66,
42, 2.33, 5.33, 0.58,
52, 2.29, 5.42, 0.61,
62, 2.46, 5.85, 0.64,
72, 2.64, 6.13, 0.66,
82, 2.80, 6.41, 0.65,
92, 3.02, 6.76, 0.71,
2, 1.58, 4.43, 0.48,
12, 1.70, 4.57, 0.51,
22, 1.82, 4.75, 0.52,
32, 1.96, 5.01, 0.53,
42, 2.12, 5.30, 0.57,
52, 2.26, 5.48, 0.60,
62, 2.48, 5.68, 0.67,
72, 2.64, 6.15, 0.65,
82, 2.79, 6.30, 0.70,
92, 3.04, 6.70, 0.71,
2, 1.89, 4.38, 0.53,
12, 1.68, 4.38, 0.51,
22, 1.91, 5.02, 0.57,
32, 1.93, 4.92, 0.54,
