Branches, Wall clock time, User time, System time, Memory (kbytes)
2, 1.72, 4.51, 0.55
3, 1.75, 4.53, 0.54
4, 1.80, 4.54, 0.58
5, 2.57, 4.53, 0.58
6, 2.50, 4.66, 0.60
7, 3.56, 4.84, 0.62
8, 1.93, 4.75, 0.59
9, 1.96, 4.85, 0.60
10, 2.46, 5.06, 0.64
11, 2.19, 4.90, 0.61
2, 1.90, 4.49, 0.56
3, 1.90, 4.48, 0.56
4, 1.83, 4.59, 0.56
5, 1.99, 4.47, 0.53
6, 1.87, 4.59, 0.56
7, 2.03, 4.72, 0.60
8, 2.04, 4.74, 0.58
9, 2.34, 4.69, 0.57
10, 2.11, 4.83, 0.58
11, 2.06, 5.25, 0.65
2, 1.64, 4.40, 0.51
3, 1.69, 4.40, 0.54
4, 1.73, 4.56, 0.53
5, 1.76, 4.57, 0.55
6, 1.76, 4.56, 0.53
7, 1.82, 4.70, 0.57
8, 1.87, 4.78, 0.58
9, 1.90, 4.85, 0.58
10, 1.90, 4.85, 0.56
11, 1.94, 4.80, 0.58
2, 1.69, 4.53, 0.56
3, 1.71, 4.49, 0.54
4, 1.74, 4.55, 0.53
5, 1.73, 4.50, 0.53
6, 1.80, 4.58, 0.56
7, 1.83, 4.75, 0.56
8, 1.84, 4.72, 0.55
9, 1.94, 4.89, 0.59
10, 1.97, 5.05, 0.60
11, 1.95, 4.94, 0.58
2, 1.62, 4.30, 0.50
3, 1.65, 4.36, 0.51
4, 1.71, 4.50, 0.51
5, 1.77, 4.60, 0.54
6, 1.87, 4.61, 0.55
7, 2.69, 4.79, 0.58
8, 1.87, 4.79, 0.57
9, 1.93, 4.85, 0.59
10, 3.31, 4.94, 0.62
11, 2.27, 4.93, 0.59
2, 2.26, 4.43, 0.51
3, 1.95, 4.38, 0.52
4, 1.74, 4.59, 0.53
5, 1.74, 4.56, 0.52
6, 1.76, 4.62, 0.52
7, 1.82, 4.78, 0.56
8, 1.88, 4.87, 0.56
9, 1.92, 4.85, 0.56
10, 1.91, 4.91, 0.56
11, 1.97, 5.01, 0.58
2, 1.66, 4.43, 0.52
3, 1.68, 4.48, 0.53
4, 1.74, 4.54, 0.52
5, 1.73, 4.61, 0.51
6, 1.77, 4.64, 0.52
7, 1.76, 4.56, 0.53
8, 1.84, 4.83, 0.55
9, 1.90, 4.85, 0.56
10, 1.89, 4.87, 0.54
11, 1.98, 4.85, 0.57
2, 1.63, 4.39, 0.52
3, 1.69, 4.51, 0.53
4, 1.72, 4.56, 0.54
5, 1.75, 4.57, 0.53
6, 1.80, 4.72, 0.56
7, 1.79, 4.67, 0.54
8, 1.90, 4.81, 0.55
9, 2.20, 4.84, 0.56
10, 1.94, 4.96, 0.56
11, 2.87, 4.92, 0.55
2, 1.68, 4.40, 0.54
3, 1.62, 4.30, 0.47
4, 1.67, 4.44, 0.50
5, 1.78, 4.69, 0.55
6, 1.92, 4.51, 0.54
7, 1.82, 4.69, 0.54
8, 1.83, 4.74, 0.54
